node_id,trust_rank_scores
1134,0.0014934933980946619
1396,0.001448010295864051
1309,0.0014215351919291584
1079,0.0013203089301091313
1138,0.0013193118467338166
1037,0.0013184714946946772
1147,0.0011921299446842973
1108,0.0011675328834593356
1051,0.0011373355007689623
1356,0.001124824564790276
1310,0.0010975118091852256
1016,0.0010834746193145544
1220,0.0010394733560476206
1023,0.001038862969842604
1780,0.0010244320263483988
1039,0.0010109717068462008
1545,0.0010070451843759883
1034,0.0009513757124403346
1035,0.0008986300394181735
1126,0.0008897231182833699
1007,0.0008682543197140254
1210,0.0008661886014940968
1327,0.0008661389115307105
1142,0.0008259615459025397
1224,0.0008190234940355181
1049,0.0007983553134128889
1259,0.0007938677207623481
1562,0.000775213715044029
1891,0.0007745488740112724
1264,0.0007735909266089921
1774,0.0007667312348845505
1246,0.0007632875222230023
1040,0.0007513528323595188
1344,0.0007419430870731588
1105,0.0007187806757821717
1222,0.0007186046854923807
1090,0.0007156227008096252
1050,0.0007076745980603423
1205,0.0007047789486971172
1081,0.0006965291065431837
1422,0.0006956023417212161
1002,0.0006937005006230194
1011,0.0006900301714407728
1837,0.000687394676629068
1228,0.0006838533131508328
1004,0.0006756989513299215
1626,0.0006726219666956627
1612,0.0006678549976713124
1172,0.0006675613518937774
1165,0.0006580673593765913
1075,0.0006486508673242011
1754,0.000645820151464121
1553,0.0006378985363121346
1073,0.000630534730934348
1528,0.0006292590016264877
1145,0.0006267059610018713
1042,0.0006233243553081143
1017,0.0006181142329404857
1149,0.0006161945669241114
1086,0.0006141318488283045
1283,0.0006128953434925223
1389,0.0006060302245224145
1084,0.0006027596337765312
1185,0.0006020628236829756
1098,0.0006016786635481529
1195,0.0005952644008912784
1391,0.0005945172202102292
1099,0.0005927106851953836
1855,0.0005836812510160071
1875,0.0005827278874651015
1140,0.0005824691284550206
1248,0.0005765829462682276
1027,0.000573908557205355
1005,0.0005725126859227812
1961,0.000565374213343761
1617,0.0005612753147166186
1350,0.0005558932926498136
1135,0.0005542422729420206
1471,0.0005497483038545025
1917,0.0005455866952125384
1701,0.000545560865397411
1582,0.0005394035821290744
1535,0.0005353587118091215
1658,0.000533798196003506
1353,0.0005321363246451895
1914,0.0005268910001601656
1181,0.0005250547153697947
1505,0.0005187594265705169
1074,0.0005184364866869944
1103,0.0005164166145788497
2126,0.0005156618274970498
1728,0.0005108814426661901
1078,0.0005107511251727363
1747,0.000509856315358324
1072,0.0005013590189738856
1656,0.0004955121089023868
1596,0.0004921594445252743
1071,0.0004894212046272579
1282,0.00048743138329232114
1608,0.0004873468450370406
1930,0.0004811116431391769
1258,0.0004785211061460957
1397,0.0004771723160143565
1298,0.0004771272862475398
1330,0.0004706052894045467
1056,0.00046672069484819786
